name,url,price,sku,description,attributes_json,image_paths,category,
Kurtki i kamizelki,https://wkdzik.pl/ubrania/meskie/kurtki-i-kamizelki,8.50,,,{},results\images\kurtki-i-kamizelki\1_8b760369.webp,results\images\kurtki-i-kamizelki\2_aaa06a65.webp,NAPOJE
Nowości WK DZIK,https://wkdzik.pl/nowosci,8.50,,,{},results\images\nowości-wk-dzik\1_8b760369.webp,results\images\nowości-wk-dzik\2_aaa06a65.webp,NAPOJE
Napoje WK DZIK,https://wkdzik.pl/produkty-dzik,8.50,,,{},results\images\napoje-wk-dzik\1_d1aa02ff.webp,results\images\napoje-wk-dzik\2_8b760369.webp,NAPOJE
Napoje energetyczne z kofeiną,https://wkdzik.pl/produkty-dzik/energy,8.50,,,{},results\images\napoje-energetyczne-z-kofeiną\1_d1aa02ff.webp,results\images\napoje-energetyczne-z-kofeiną\2_8b760369.webp,NAPOJE
Napoje bez kofeiny i cukru,https://wkdzik.pl/produkty-dzik/zero-caffeine,8.50,,,{},results\images\napoje-bez-kofeiny-i-cukru\1_8b760369.webp,results\images\napoje-bez-kofeiny-i-cukru\2_aaa06a65.webp,NAPOJE
Napoje izotoniczne,https://wkdzik.pl/produkty-dzik/boost,8.50,,,{},results\images\napoje-izotoniczne\1_8b760369.webp,results\images\napoje-izotoniczne\2_aaa06a65.webp,NAPOJE
VITAMIN DRINK,https://wkdzik.pl/napoje/vitamin-drink,8.50,,,{},results\images\vitamin-drink\1_8b760369.webp,results\images\vitamin-drink\2_aaa06a65.webp,NAPOJE
Niskokaloryczna żywność,https://wkdzik.pl/odzywianie,8.50,,,{},results\images\niskokaloryczna-żywność\1_8b760369.webp,results\images\niskokaloryczna-żywność\2_aaa06a65.webp,NAPOJE
Batony proteinowe,https://wkdzik.pl/odzywianie/batony,8.50,,,{},results\images\batony-proteinowe\1_8b760369.webp,results\images\batony-proteinowe\2_aaa06a65.webp,NAPOJE
Chipsy proteinowe,https://wkdzik.pl/odzywianie/chipsy,8.50,,,{},results\images\chipsy-proteinowe\1_8b760369.webp,results\images\chipsy-proteinowe\2_aaa06a65.webp,NAPOJE
Lody proteinowe,https://wkdzik.pl/odzywianie/lody-proteinowe,8.50,,,{},results\images\lody-proteinowe\1_8b760369.webp,results\images\lody-proteinowe\2_aaa06a65.webp,NAPOJE
Kawa energetyczna,https://wkdzik.pl/odzywianie/kawy,8.50,,,{},results\images\kawa-energetyczna\1_8b760369.webp,results\images\kawa-energetyczna\2_aaa06a65.webp,NAPOJE
Sosy niskokaloryczne,https://wkdzik.pl/odzywianie/sosy-zero-kalorii,8.50,,,{},results\images\sosy-niskokaloryczne\1_8b760369.webp,results\images\sosy-niskokaloryczne\2_aaa06a65.webp,NAPOJE
Wafle kukurydziane i ryżowe,https://wkdzik.pl/odzywianie/wafle,8.50,,,{},results\images\wafle-kukurydziane-i-ryżowe\1_8b760369.webp,results\images\wafle-kukurydziane-i-ryżowe\2_aaa06a65.webp,NAPOJE
Zestawy fit żywności,https://wkdzik.pl/odzywianie/zestawy,8.50,,,{},results\images\zestawy-fit-żywności\1_8b760369.webp,results\images\zestawy-fit-żywności\2_aaa06a65.webp,NAPOJE
BATON PROTEINOWY SALTED CARAMEL DZIK®,https://wkdzik.pl/baton-proteinowy-slony-karmel,8.50,,,{},results\images\baton-proteinowy-salted-caramel-dzik\19_15147584.png,results\images\baton-proteinowy-salted-caramel-dzik\23_6490404d.png,NAPOJE
WAFLE KUKURYDZIANE ZIELONA CEBULKA DZIK®,https://wkdzik.pl/dzik-wafle-kukurydziane-low-fat-zielona-cebulka,8.50,,,{},results\images\wafle-kukurydziane-zielona-cebulka-dzik\19_ea1d4a3f.jpg,results\images\wafle-kukurydziane-zielona-cebulka-dzik\22_c91aaed5.jpg,NAPOJE
Sos Zero Cinnamon Roll DZIK®,https://wkdzik.pl/sos-zero-dzik-cinnamon-roll,8.50,,,{},results\images\sos-zero-cinnamon-roll-dzik\19_fc9ef66b.jpg,results\images\sos-zero-cinnamon-roll-dzik\22_6aa6611c.jpg,NAPOJE
